date,opponent,w/l,sp,k,e,ta,pct,ast,sa,se,re,dig,bs,ba,be,tb,bhe,pts,year
10/27/2023,University of Northwestern Ohio,1,5,54,24,152,0.197,52,7,11,15,75,3,16,1,11.0,0,72.0,2023
10/28/2023,Indiana Tech,0,3,32,16,93,0.172,28,3,5,6,29,0,12,0,6.0,0,41.0,2023
11/1/2023,at Michigan-Dearborn,0,4,45,21,127,0.189,40,7,1,11,61,0,12,0,6.0,1,58.0,2023
11/3/2023,at Aquinas (MI),0,3,26,17,106,0.085,25,5,5,10,53,1,16,0,9.0,2,40.0,2023
11/8/2023,at Siena Heights,0,4,39,23,156,0.103,38,7,3,13,73,3,18,2,12.0,1,58.0,2023
8/20/2022,vs Grace,1,5,43,35,173,0.046,40,4,8,5,83,1,4,0,3.0,2,50.0,2022
9/7/2022,Cornerstone,0,3,25,10,97,0.155,24,1,4,9,37,1,8,2,5.0,2,31.0,2022
9/16/2022,Rochester University,1,5,63,27,200,0.18,59,17,10,10,105,0,14,0,7.0,5,87.0,2022
9/21/2022,Madonna,0,5,62,23,173,0.225,53,7,10,3,60,0,12,0,6.0,2,75.0,2022
9/23/2022,at Siena Heights,0,3,33,20,136,0.096,33,7,4,2,71,1,10,2,6.0,1,46.0,2022
9/28/2022,Lourdes,1,3,39,9,105,0.286,37,7,10,5,61,0,0,1,0.0,3,46.0,2022
9/30/2022,Indiana Tech,0,4,43,21,146,0.151,39,6,6,11,71,2,2,0,3.0,3,52.0,2022
10/1/2022,University of Northwestern Ohio,0,4,41,26,155,0.097,37,5,5,8,84,2,0,1,2.0,2,48.0,2022
10/14/2022,at Concordia (MI),0,3,31,21,121,0.083,31,4,8,8,52,1,2,0,2.0,0,37.0,2022
10/15/2022,at Rochester,1,3,37,24,150,0.087,35,11,5,3,101,0,10,0,5.0,0,53.0,2022
10/19/2022,at Madonna,0,3,20,26,102,-0.059,20,6,0,5,32,2,4,0,4.0,1,30.0,2022
10/22/2022,Siena Heights,0,3,24,18,102,0.059,22,6,4,9,44,1,8,0,5.0,1,35.0,2022
10/26/2022,at Lourdes,0,4,41,21,145,0.138,38,5,10,11,64,0,6,0,3.0,5,49.0,2022
10/28/2022,at University of Northwestern Ohio,0,4,42,25,155,0.11,38,6,9,6,62,2,12,2,8.0,0,56.0,2022
10/29/2022,at Indiana Tech,0,4,41,22,128,0.148,39,4,8,6,59,0,0,0,0.0,2,45.0,2022
11/2/2022,Michigan-Dearborn,1,5,53,28,164,0.152,51,9,4,4,71,2,12,1,8.0,3,70.0,2022
11/5/2022,Aquinas College,1,3,37,17,89,0.225,37,1,1,2,48,2,12,0,8.0,0,46.0,2022
9/15/2021,Madonna,0,3,40,17,122,0.189,37,2,9,3,50,0,2,1,1.0,1,43.0,2021
9/17/2021,at Concordia (MI),0,5,64,35,217,0.134,61,5,9,7,112,1,6,0,4.0,1,73.0,2021
9/22/2021,at Siena Heights,0,3,30,16,123,0.114,28,1,3,4,62,0,2,0,1.0,3,32.0,2021
9/24/2021,at University of Northwestern Ohio,1,4,44,16,127,0.22,42,8,9,8,47,5,4,2,7.0,0,59.0,2021
9/25/2021,at Indiana Tech,0,3,19,24,83,-0.06,16,3,3,10,33,2,0,0,2.0,0,24.0,2021
9/29/2021,Lourdes,0,5,61,23,191,0.199,58,7,13,8,98,3,8,0,7.0,6,74.0,2021
10/1/2021,Cornerstone,0,3,36,28,122,0.066,34,7,2,6,61,0,10,0,5.0,1,48.0,2021
10/2/2021,Aquinas College,0,4,52,23,156,0.186,42,4,4,4,63,1,12,0,7.0,0,63.0,2021
10/13/2021,at Rochester,0,3,36,39,144,-0.021,23,4,5,5,76,2,14,0,9.0,0,49.0,2021
10/20/2021,at Madonna,0,3,36,18,103,0.175,34,4,2,7,44,1,14,0,8.0,0,48.0,2021
10/22/2021,Indiana Tech,0,3,29,20,116,0.078,23,5,11,8,52,1,2,0,2.0,4,36.0,2021
10/22/2021,University of Northwestern Ohio,1,4,38,24,141,0.099,36,9,8,4,66,1,34,1,18.0,3,65.0,2021
10/27/2021,at Lourdes,0,3,32,31,121,0.008,31,5,5,4,47,0,10,1,5.0,0,42.0,2021
11/3/2021,Siena Heights,1,5,64,32,197,0.162,59,9,5,14,110,1,14,0,8.0,1,81.0,2021
11/6/2021,at Michigan-Dearborn,0,5,55,28,172,0.157,55,7,6,12,79,0,22,0,11.0,1,73.0,2021
10/7/2020,at Rochester (Mich.),1,4,47,30,151,0.113,42,14,9,2,74,3,0,6,3.0,0,64.0,2020
2/23/2021,at Aquinas,0,4,49,25,161,0.149,43,11,8,5,78,1,2,3,2.0,0,62.0,2020
