date,opponent,w/l,sp,k,e,ta,pct,ast,sa,se,re,dig,bs,ba,be,tb,bhe,pts,year,k_per_sp,e_per_sp,pts_per_sp,ast_to_e,sa_minus_se,total_blocks
10/19/2022,at Madonna,0,3,20,26,102,-0.059,20,6,0,5,32,2,4,0,4.0,1,30.0,2022,6.666666666666667,8.666666666666666,10.0,0.7692304733728949,6,6
10/22/2022,Siena Heights,0,3,24,18,102,0.059,22,6,4,9,44,1,8,0,5.0,1,35.0,2022,8.0,6.0,11.666666666666666,1.222221543210254,2,9
10/26/2022,at Lourdes,0,4,41,21,145,0.138,38,5,10,11,64,0,6,0,3.0,5,49.0,2022,10.25,5.25,12.25,1.8095229478462154,-5,6
10/28/2022,at University of Northwestern Ohio,0,4,42,25,155,0.11,38,6,9,6,62,2,12,2,8.0,0,56.0,2022,10.5,6.25,14.0,1.5199993920002433,-3,14
10/29/2022,at Indiana Tech,0,4,41,22,128,0.148,39,4,8,6,59,0,0,0,0.0,2,45.0,2022,10.25,5.5,11.25,1.7727264669425151,-4,0
11/2/2022,Michigan-Dearborn,1,5,53,28,164,0.152,51,9,4,4,71,2,12,1,8.0,3,70.0,2022,10.6,5.6,14.0,1.8214279209185997,5,14
11/5/2022,Aquinas College,1,3,37,17,89,0.225,37,1,1,2,48,2,12,0,8.0,0,46.0,2022,12.333333333333334,5.666666666666667,15.333333333333334,2.1764693079592305,0,14
9/15/2021,Madonna,0,3,40,17,122,0.189,37,2,9,3,50,0,2,1,1.0,1,43.0,2021,13.333333333333334,5.666666666666667,14.333333333333334,2.1764693079592305,-7,2
9/17/2021,at Concordia (MI),0,5,64,35,217,0.134,61,5,9,7,112,1,6,0,4.0,1,73.0,2021,12.8,7.0,14.6,1.7428566448981013,-4,7
9/22/2021,at Siena Heights,0,3,30,16,123,0.114,28,1,3,4,62,0,2,0,1.0,3,32.0,2021,10.0,5.333333333333333,10.666666666666666,1.7499989062506836,-2,2
9/24/2021,at University of Northwestern Ohio,1,4,44,16,127,0.22,42,8,9,8,47,5,4,2,7.0,0,59.0,2021,11.0,4.0,14.75,2.6249983593760255,-1,9
9/25/2021,at Indiana Tech,0,3,19,24,83,-0.06,16,3,3,10,33,2,0,0,2.0,0,24.0,2021,6.333333333333333,8.0,8.0,0.6666663888890046,0,2
